"","score","method","forest"
"rpart354",20.7407784696836,"rpart","DECISION TREE"
"rpart355",19.4271921802861,"rpart","DECISION TREE"
"rpart356",23.2824988751351,"rpart","DECISION TREE"
"rpart357",21.9049861713297,"rpart","DECISION TREE"
"rpart358",23.2721058953953,"rpart","DECISION TREE"
"rpart359",22.9572836517443,"rpart","DECISION TREE"
"rpart360",22.5682206199707,"rpart","DECISION TREE"
"rpart361",20.9609917250373,"rpart","DECISION TREE"
"rpart362",18.0823004914573,"rpart","DECISION TREE"
"rpart363",19.2531211488013,"rpart","DECISION TREE"
"rpart364",21.4885476898963,"rpart","DECISION TREE"
"rpart365",22.8331634737528,"rpart","DECISION TREE"
"rpart366",24.7139191532719,"rpart","DECISION TREE"
"rpart367",19.8410843093672,"rpart","DECISION TREE"
"rpart368",19.3066479956546,"rpart","DECISION TREE"
"rpart369",21.6504019603365,"rpart","DECISION TREE"
"rpart370",20.0788890463721,"rpart","DECISION TREE"
"rpart371",21.033941023126,"rpart","DECISION TREE"
"rpart372",19.461922286585,"rpart","DECISION TREE"
"rpart373",20.8242836148086,"rpart","DECISION TREE"
"rpart374",22.1593476200828,"rpart","DECISION TREE"
"rpart375",19.7908000186403,"rpart","DECISION TREE"
"rpart376",19.7788675282805,"rpart","DECISION TREE"
"rpart377",19.7327813087663,"rpart","DECISION TREE"
"rpart378",20.4729670898483,"rpart","DECISION TREE"
"rpart379",18.6646193961043,"rpart","DECISION TREE"
"rpart380",22.4942738953865,"rpart","DECISION TREE"
"rpart381",21.9657462684481,"rpart","DECISION TREE"
"rpart382",21.0038862930142,"rpart","DECISION TREE"
"rpart383",18.5859449791863,"rpart","DECISION TREE"
"rpart384",18.5347438708511,"rpart","DECISION TREE"
"rpart385",19.4290722820659,"rpart","DECISION TREE"
"rpart386",19.6290293546052,"rpart","DECISION TREE"
"rpart387",19.6363411942488,"rpart","DECISION TREE"
"rpart388",20.5625973832305,"rpart","DECISION TREE"
"rpart389",21.0622827530952,"rpart","DECISION TREE"
"rpart390",20.6452997457195,"rpart","DECISION TREE"
"rpart391",20.8518162170424,"rpart","DECISION TREE"
"rpart392",18.577014042655,"rpart","DECISION TREE"
"rpart393",20.3365155481497,"rpart","DECISION TREE"
"rpart394",19.0084605133527,"rpart","DECISION TREE"
"rpart395",21.8371378623259,"rpart","DECISION TREE"
"rpart396",22.2465076629098,"rpart","DECISION TREE"
"rpart397",19.802776748344,"rpart","DECISION TREE"
"rpart398",21.080952459343,"rpart","DECISION TREE"
"rpart399",20.9252890232581,"rpart","DECISION TREE"
"rpart400",20.8574359528933,"rpart","DECISION TREE"
"rpart401",18.500149828474,"rpart","DECISION TREE"
"rpart402",20.0989007725294,"rpart","DECISION TREE"
"rpart403",22.33850448774,"rpart","DECISION TREE"
"rpart404",18.8574482744498,"rpart","DECISION TREE"
"rpart405",19.9669192200358,"rpart","DECISION TREE"
"rpart406",19.807045219536,"rpart","DECISION TREE"
"rpart407",20.1930652769257,"rpart","DECISION TREE"
"rpart408",20.7583001277432,"rpart","DECISION TREE"
"rpart409",21.7156538643712,"rpart","DECISION TREE"
"rpart410",23.6475111787684,"rpart","DECISION TREE"
"rpart411",19.7889489843044,"rpart","DECISION TREE"
"rpart412",22.8166354805093,"rpart","DECISION TREE"
"rpart413",20.1346593347075,"rpart","DECISION TREE"
"rpart414",20.8991902537423,"rpart","DECISION TREE"
"rpart415",20.1981132397919,"rpart","DECISION TREE"
"rpart416",21.419581785113,"rpart","DECISION TREE"
"rpart417",19.6193759254926,"rpart","DECISION TREE"
"rpart418",22.1032174276939,"rpart","DECISION TREE"
"rpart419",21.8589970051923,"rpart","DECISION TREE"
"rpart420",19.6069470812921,"rpart","DECISION TREE"
"rpart421",22.0537954788223,"rpart","DECISION TREE"
"rpart422",23.661958339885,"rpart","DECISION TREE"
"rpart423",19.7386817205489,"rpart","DECISION TREE"
"rpart424",21.4343198346018,"rpart","DECISION TREE"
"rpart425",20.7193474160145,"rpart","DECISION TREE"
"rpart426",21.2016980696066,"rpart","DECISION TREE"
"rpart427",21.8180145164384,"rpart","DECISION TREE"
"rpart428",20.0224514749695,"rpart","DECISION TREE"
"rpart429",21.9362350600101,"rpart","DECISION TREE"
"rpart430",19.4624868772207,"rpart","DECISION TREE"
"rpart431",20.0574264756206,"rpart","DECISION TREE"
"rpart432",22.1879937319344,"rpart","DECISION TREE"
"rpart433",21.8001415768671,"rpart","DECISION TREE"
